country_name,region,forest_1990,forest_2016,forest_area_change,pct_change,land_1990,land_2016
Cote d'Ivoire,Sub-Saharan Africa,102220,104005.9961,1785.9961,1.74720808061045,317999.9928,317999.9928
Latvia,Europe & Central Asia,31730,33563.99902,1833.99902,5.80724541621039,62196.001,62179.9948
Montenegro,Europe & Central Asia,6260,8270,2010,32.1086261980831,13449.9995,13449.9995
Puerto Rico,Latin America & Caribbean,2870,4992.600098,2122.600098,73.9581915679443,8869.9989,8869.9989
Costa Rica,Latin America & Caribbean,25640,27861.99951,2221.99951,8.66614473478941,51060.0111,51060.0111
Lithuania,Europe & Central Asia,19450,21820,2370,12.2531354743912,62679.9943,62641.999
Serbia,Europe & Central Asia,24760,27213.99902,2453.99902,9.91114305331179,87460.0006,87460.0006
Bhutan,South Asia,25067.09961,27648.50098,2581.40137,35.1052178425772,46723.0043,38143.9919
Hungary,Europe & Central Asia,18010,20736.00098,2726.00098,14.2966407848594,89869.9956,90530.0053
Ireland,Europe & Central Asia,4650,7597.000122,2947.000122,63.3763467096774,68890.0114,68890.0114
Algeria,Middle East & North Africa,16670,19635.99976,2965.99976,17.7924400719856,2381739.9907,2381739.9907
Azerbaijan,Europe & Central Asia,8520,11656.19995,3136.19995,37.7150972832189,83217.0108,82670.0028
Finland,Europe & Central Asia,218750,222180,3430,1.79526036023424,304590.0088,303910.0043
United Kingdom,Europe & Central Asia,27780,31610,3830,13.7868970482361,241930.0093,241930.0093
Ukraine,Europe & Central Asia,92740,96787.99805,4047.99804999999,4.37570044677193,579350.0034,579289.9931
Tunisia,Middle East & North Africa,6430,10511.99951,4081.99951,63.4836626749611,155360.0104,155360.0104
New Zealand,East Asia & Pacific,96580,101522.002,4942.00199999999,5.1170035203976,263309.9931,263309.9931
Bulgaria,Europe & Central Asia,33270,38401.99951,5131.99951,17.6262188337073,110630.0111,108560.0054
Romania,Europe & Central Asia,63710,69302.00195,5592.00195000001,8.43213729335491,229349.9908,230080.0082
Poland,Europe & Central Asia,88810,94562.00195,5752.00195000001,6.51152500553444,306290.0071,306190.0072
Morocco,Middle East & North Africa,49540,56240,6700,13.5244247073072,446299.994,446299.994
Ghana,Sub-Saharan Africa,86270,93654.00391,7384.00391,8.5591792164136,227539.9952,227539.9952
Greece,Europe & Central Asia,32990,40841.99951,7851.99951,23.8011503789027,128900.0006,128900.0006
Belarus,Europe & Central Asia,77800,86534.00391,8734.00391,11.1451201378784,202839.994,202988.0125
